Age	fit	ci_lo	ci_hi	model
41	0.010424195675992304	0.006867193751028691	0.013981197600955918	vafSum_likelyDisease
42	0.010770249775370343	0.007342337677133213	0.014198161873607474	vafSum_likelyDisease
43	0.011116303874748382	0.007808915422637425	0.01442369232685934	vafSum_likelyDisease
44	0.011462357974126421	0.008265957849932934	0.014658758098319909	vafSum_likelyDisease
45	0.01180841207350446	0.008712439286866606	0.014904384860142315	vafSum_likelyDisease
46	0.0121544661728825	0.00914730146204091	0.015161630883724088	vafSum_likelyDisease
47	0.012500520272260538	0.009569488020385684	0.015431552524135392	vafSum_likelyDisease
48	0.012846574371638577	0.009977989548803284	0.01571515919447387	vafSum_likelyDisease
49	0.013192628471016616	0.010371896993023329	0.016013359949009903	vafSum_likelyDisease
50	0.013538682570394655	0.010750458831711874	0.016326906309077436	vafSum_likelyDisease
51	0.013884736669772694	0.011113135052686107	0.01665633828685928	vafSum_likelyDisease
52	0.014230790769150733	0.011459639782360122	0.017001941755941344	vafSum_likelyDisease
53	0.014576844868528772	0.011789965176074332	0.017363724560983212	vafSum_likelyDisease
54	0.01492289896790681	0.012104382086688936	0.017741415849124684	vafSum_likelyDisease
55	0.01526895306728485	0.012403417382622014	0.018134488751947685	vafSum_likelyDisease
56	0.015615007166662889	0.012687812183182478	0.018542202150143298	vafSum_likelyDisease
57	0.015961061266040927	0.012958468296053079	0.018963654236028776	vafSum_likelyDisease
58	0.016307115365418966	0.013216391020479935	0.019397839710357998	vafSum_likelyDisease
59	0.016653169464797005	0.013462635376239422	0.01984370355335459	vafSum_likelyDisease
60	0.016999223564175044	0.013698260534244548	0.02030018659410554	vafSum_likelyDisease
61	0.017345277663553083	0.013924294699468247	0.02076626062763792	vafSum_likelyDisease
62	0.017691331762931122	0.014141710611734814	0.02124095291412743	vafSum_likelyDisease
63	0.01803738586230916	0.014351410475202983	0.02172336124941534	vafSum_likelyDisease
64	0.018383439961687204	0.01455421848042555	0.022212661442948856	vafSum_likelyDisease
65	0.018729494061065242	0.0147508789613566	0.022708109160773884	vafSum_likelyDisease
66	0.01907554816044328	0.014942058420335736	0.023209037900550827	vafSum_likelyDisease
67	0.01942160225982132	0.015128349983004843	0.023714854536637797	vafSum_likelyDisease
68	0.01976765635919936	0.015310279198348355	0.024225033520050364	vafSum_likelyDisease
69	0.020113710458577398	0.015488310415701832	0.024739110501452964	vafSum_likelyDisease
70	0.020459764557955437	0.015662853226685994	0.02525667588922488	vafSum_likelyDisease
71	0.020805818657333476	0.015834268653123533	0.02577736866154342	vafSum_likelyDisease
72	0.021151872756711515	0.01600287489989225	0.02630087061353078	vafSum_likelyDisease
73	0.021497926856089554	0.016168952585597186	0.026826901126581922	vafSum_likelyDisease
74	0.021843980955467593	0.016332749424994502	0.027355212485940684	vafSum_likelyDisease
75	0.022190035054845632	0.01649448437468637	0.027885585735004895	vafSum_likelyDisease
76	0.02253608915422367	0.016654351275083246	0.028417827033364096	vafSum_likelyDisease
77	0.02288214325360171	0.016812522032434874	0.028951764474768545	vafSum_likelyDisease
78	0.02322819735297975	0.016969149388725676	0.02948724531723382	vafSum_likelyDisease
79	0.023574251452357788	0.01712436932707068	0.030024133577644895	vafSum_likelyDisease
80	0.023920305551735827	0.017278303157710815	0.030562307945760838	vafSum_likelyDisease
10	-0.0025505912479022942	-0.0098714567086723	0.004770274212867711	vafSum_posPath
11	-0.0022803346920999648	-0.009440957322786239	0.004880287938586308	vafSum_posPath
12	-0.0020100781362976357	-0.009010829695728745	0.004990673423133474	vafSum_posPath
13	-0.001739821580495306	-0.008581099889995463	0.005101456729004851	vafSum_posPath
14	-0.0014695650246929768	-0.00815179638798601	0.005212666338600058	vafSum_posPath
15	-0.0011993084688906473	-0.00772295036973839	0.005324333431957096	vafSum_posPath
16	-9.290519130883178e-4	-0.0072945960282284495	0.005436492202051814	vafSum_posPath
17	-6.587953572859883e-4	-0.006866770927991264	0.005549180213419287	vafSum_posPath
18	-3.8853880148365897e-4	-0.006439516413781636	0.005662438810814318	vafSum_posPath
19	-1.1828224568132955e-4	-0.006012878077116145	0.0057763135857534864	vafSum_posPath
20	1.5197431012099988e-4	-0.00558690628985541	0.00589085491009741	vafSum_posPath
21	4.222308659233293e-4	-0.005161656815520668	0.006006118547367327	vafSum_posPath
22	6.924874217256587e-4	-0.00473719151082256	0.006122166354273878	vafSum_posPath
23	9.627439775279881e-4	-0.00431357913194071	0.006239067086996687	vafSum_posPath
24	0.0012330005333303176	-0.003890896262453965	0.0063568973291146	vafSum_posPath
25	0.001503257089132647	-0.0034692283824965015	0.006475742560761796	vafSum_posPath
26	0.0017735136449349765	-0.003048671101697715	0.006595698391567668	vafSum_posPath
27	0.002043770200737306	-0.0026293315817119667	0.006716871983186578	vafSum_posPath
28	0.002314026756539635	-0.0022113301775577923	0.006839383690637062	vafSum_posPath
29	0.0025842833123419645	-0.001794802330371166	0.006963368955055095	vafSum_posPath
30	0.002854539868144294	-0.0013799007471942204	0.007088980483482808	vafSum_posPath
31	0.0031247964239466235	-9.667979055073706e-4	0.0072163907534006175	vafSum_posPath
32	0.003395052979748953	-5.556889204757724e-4	0.007345794879973678	vafSum_posPath
33	0.0036653095355512824	-1.4679480994373405e-4	0.007477413881046299	vafSum_posPath
34	0.003935566091353612	2.596338159883229e-4	0.007611498366718901	vafSum_posPath
35	0.004205822647155941	6.63312630433054e-4	0.007748332663878829	vafSum_posPath
36	0.004476079202958271	0.0010639190488225827	0.007888239357093959	vafSum_posPath
37	0.0047463357587606	0.001461087337447519	0.008031584180073681	vafSum_posPath
38	0.00501659231456293	0.00185440351004976	0.0081787811190761	vafSum_posPath
39	0.005286848870365259	0.00224340025827793	0.008330297482452589	vafSum_posPath
40	0.005557105426167589	0.0026275523123251926	0.008486658540009986	vafSum_posPath
41	0.005827361981969917	0.003006272828360874	0.008648451135578961	vafSum_posPath
42	0.006097618537772247	0.003378911648132059	0.008816325427412435	vafSum_posPath
43	0.006367875093574576	0.0037447565555891148	0.008990993631560038	vafSum_posPath
44	0.006638131649376906	0.004103038919268505	0.009173224379485307	vafSum_posPath
45	0.006908388205179235	0.004452945269667706	0.009363831140690764	vafSum_posPath
46	0.007178644760981565	0.004793636282540029	0.009563653239423101	vafSum_posPath
47	0.007448901316783894	0.005124274153494679	0.00977352848007311	vafSum_posPath
48	0.007719157872586224	0.005444058308227414	0.009994257436945033	vafSum_posPath
49	0.007989414428388552	0.005752267767892475	0.010226561088884631	vafSum_posPath
50	0.008259670984190882	0.0060483064943856885	0.010471035473996075	vafSum_posPath
51	0.008529927539993211	0.006331746199349646	0.010728108880636775	vafSum_posPath
52	0.00880018409579554	0.0066023601539577925	0.010998008037633289	vafSum_posPath
53	0.00907044065159787	0.0068601421365423985	0.011280739166653342	vafSum_posPath
54	0.0093406972074002	0.007105306962861865	0.011576087451938534	vafSum_posPath
55	0.00961095376320253	0.007338272496839513	0.011883635029565544	vafSum_posPath
56	0.009881210319004859	0.007559626526643019	0.012202794111366698	vafSum_posPath
57	0.010151466874807188	0.007770084283786484	0.012532849465827892	vafSum_posPath
58	0.010421723430609518	0.007970443079842737	0.012873003781376298	vafSum_posPath
59	0.010691979986411847	0.008161539660169463	0.013222420312654231	vafSum_posPath
60	0.010962236542214177	0.008344214062426898	0.013580259022001455	vafSum_posPath
61	0.011232493098016506	0.008519281764918965	0.013945704431114047	vafSum_posPath
62	0.011502749653818835	0.008687514256057956	0.014317985051579715	vafSum_posPath
63	0.011773006209621165	0.008849627081806522	0.014696385337435808	vafSum_posPath
64	0.012043262765423494	0.00900627391485814	0.01508025161598885	vafSum_posPath
65	0.012313519321225824	0.009158045092943524	0.015468993549508123	vafSum_posPath
66	0.012583775877028153	0.009305469224863229	0.015862082529193078	vafSum_posPath
67	0.012854032432830483	0.009449016723720855	0.01625904814194011	vafSum_posPath
68	0.013124288988632812	0.009589104406985426	0.0166594735702802	vafSum_posPath
69	0.013394545544435142	0.009726100554152337	0.017062990534717947	vafSum_posPath
70	0.013664802100237471	0.009860330015897237	0.017469274184577707	vafSum_posPath
71	0.0139350586560398	0.009992079121766667	0.017878038190312934	vafSum_posPath
72	0.01420531521184213	0.010121600242815896	0.018289030180868367	vafSum_posPath
73	0.01447557176764446	0.01024911594010046	0.018702027595188457	vafSum_posPath
74	0.01474582832344679	0.010374822678347273	0.019116833968546305	vafSum_posPath
75	0.015016084879249119	0.010498894113941261	0.019533275644556976	vafSum_posPath
76	0.015286341435051448	0.01062148398339734	0.019951198886705556	vafSum_posPath
77	0.015556597990853778	0.010742728627056847	0.020370467354650708	vafSum_posPath
78	0.015826854546656107	0.010862749185915668	0.020790959907396545	vafSum_posPath
79	0.016097111102458435	0.010981653509364656	0.021212568695552214	vafSum_posPath
80	0.016367367658260766	0.011099537809610645	0.021635197506910887	vafSum_posPath
10	-0.0024371250877304115	-0.009860385007901772	0.004986134832440949	exome_vafSum_posPath
11	-0.002163376571905465	-0.009424152399939134	0.005097399256128203	exome_vafSum_posPath
12	-0.0018896280560805189	-0.00898829675046957	0.005209040638308533	exome_vafSum_posPath
13	-0.0016158795402555727	-0.008552844486515998	0.005321085406004853	exome_vafSum_posPath
14	-0.0013421310244306262	-0.00811782448885169	0.005433562439990436	exome_vafSum_posPath
15	-0.00106838250860568	-0.007683268373619249	0.00554650335640789	exome_vafSum_posPath
16	-7.946339927807338e-4	-0.007249210812040072	0.005659942826478605	exome_vafSum_posPath
17	-5.208854769557876e-4	-0.006815689894051628	0.005773918940140052	exome_vafSum_posPath
18	-2.4713696113084127e-4	-0.006382747542683765	0.0058884736204220835	exome_vafSum_posPath
19	2.6611554694105e-5	-0.005950429987126128	0.0060036530965143385	exome_vafSum_posPath
20	3.0036007051905127e-4	-0.005518788303773444	0.006119508444811546	exome_vafSum_posPath
21	5.741085863439975e-4	-0.005087879036092388	0.006236096208780382	exome_vafSum_posPath
22	8.478571021689438e-4	-0.004657764905962408	0.006353479110300296	exome_vafSum_posPath
23	0.0011216056179938901	-0.004228515631232469	0.0064717268672202484	exome_vafSum_posPath
24	0.0013953541338188363	-0.0038002088666299265	0.006590917134267599	exome_vafSum_posPath
25	0.0016691026496437826	-0.0033729312878705738	0.006711136587158139	exome_vafSum_posPath
